# Title: Europe Average Temperature Anomalies;
# Units: Degrees Celsius;
# Base Period: 1910-2000;
Date;Anomaly
200701;3.21
200702;1.33
200703;2.53
200704;1.54
200705;1.82
200706;1.7
200707;0.98
200708;1.29
200709;0.25
200710;0.95
200711;-0.08
200712;0.99
200801;1.83
200802;2.5
200803;1.8
200804;1.48
200805;0.96
200806;1.25
200807;0.97
200808;1.14
200809;0.12
200810;1.09
200811;1.05
200812;1.17
200901;0.63
200902;0.89
200903;0.91
200904;1.54
200905;1.21
200906;0.91
200907;1.22
200908;1.16
200909;1.26
200910;0.63
200911;1.99
200912;0.63
201001;-0.88
201002;0.23
201003;0.65
201004;1.26
201005;0.93
201006;1.09
201007;2.36
201008;1.76
201009;0.68
201010;-0.17
201011;1.34
201012;-1.05
201101;0.95
201102;-0.22
201103;0.9
201104;1.97
201105;1.19
201106;1.51
201107;1.11
201108;1.17
201109;1.91
201110;0.85
201111;0.78
201112;2.28
201201;1.24
201202;-1.93
201203;1.53
201204;1.2
201205;1.53
201206;1.32
201207;1.56
201208;1.61
201209;1.27
201210;1.36
201211;2.02
201212;-0.29
201301;0.91
201302;1.4
201303;-0.78
201304;0.9
201305;1.57
201306;1.25
201307;1.26
201308;1.48
201309;0.59
201310;1.22
201311;1.77
201312;1.35
201401;1.67
201402;3.01
201403;2.95
201404;2.03
201405;1.14
201406;0.8
201407;1.82
201408;1.31
201409;1.5
201410;1.52
201411;1.61
201412;1.64
201501;2.11
201502;1.93
201503;2.16
201504;1.16
201505;1.15
201506;0.76
201507;1.56
201508;1.81
201509;1.87
201510;0.7
201511;2.37
201512;2.9
201601;0.68
201602;3.54
201603;1.91
201604;1.97
201605;1.38
201606;1.69
201607;1.61
201608;1.41
201609;2.02
201610;0.51
201611;0.4
201612;0.8
201701;0.02
201702;1.79
201703;2.74
201704;0.75
201705;0.99
201706;1.76
201707;1.19
201708;1.81
201709;1.21
201710;1.25
201711;1.11
201712;1.88
201801;2.46
201802;0.29
201803;0.02
201804;2.81
201805;2.87
201806;1.91
201807;2.43
201808;2.44
201809;2.1
201810;1.81
201811;1.45
201812;1.52
201901;0.89
201902;2.75
201903;2.25
201904;1.57
201905;0.65
201906;2.81
201907;1.22
201908;1.81
201909;1.34
201910;1.85
201911;1.82
201912;2.77
202001;3.14
202002;3.63
202003;2.49
202004;1.43
202005;0.53
202006;1.91
202007;1.2
202008;1.98
202009;2.37
202010;2.16
202011;2.14
202012;2.38
202101;1.54
202102;1.54
202103;1.27
202104;0.47
202105;0.53
202106;2.27
202107;2.41
202108;1.27
202109;0.99
202110;0.92
202111;1.4
202112;0.87
202201;1.94
202202;2.97
202203;1.14
202204;0.9
202205;1.35
202206;2.44
202207;1.85
202208;2.8
202209;0.94
202210;2.46
202211;2.16
202212;1.76
202301;3.32
202302;2.27
202303;2.09
202304;1.2
202305;1.02
202306;2.03
202307;1.86
202308;2.48
202309;3.21
202310;2.39
202311;1.51
202312;1.96
202401;1.7
202402;4.14
202403;2.94
202404;2.63
202405;2
202406;2.59
202407;2.61
202408;3
202409;2.57
202410;2
202411;1.54
202412;2.11
202501;3.21
202502;1.58
202503;3.24
202504;2.09
202505;0.81
202506;2.19
202507;2.4
202508;1.91
